trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
161,138,[2],51,CNN,a,1.5145518138766725e-05,0.008003750444699781,32,5,0.2797202797202797
162,129,"[2, 5, 6, 7, 4, 8]",53,CNN,a,0.00024295854182529604,0.05512499621304876,32,5,0.47368421052631576
163,121,"[2, 4, 8, 3]",39,CNN,a,0.00019261752694960208,0.029565233951951236,29,5,0.49567723342939485
164,136,[3],48,CNN,a,2.4684684933064163e-05,0.012796748353605763,17,5,0.4074074074074074
165,198,[2],10,CNN,a,0.0003687214707377992,0.04454889889237941,34,5,0.5082872928176796
166,143,[3],32,CNN,a,0.0005392892668704388,0.10322920479197761,20,9,0.5014409221902018
167,185,[2],55,CNN,a,0.00029597003900701696,0.2636206661013022,30,5,0.49504950495049505
168,107,[2],46,CNN,a,0.00025541701208662795,0.24062970879263457,19,5,0.47318611987381703
169,128,[3],41,CNN,a,0.00038457254102976885,0.11283032076240929,15,5,0.5109034267912773
170,112,"[7, 2]",59,CNN,a,0.0002277042509216912,0.22929934100235821,13,7,0.48192771084337355
171,174,[2],43,CNN,a,0.00030501404209357634,0.21603755006348352,21,5,0.48433048433048426
172,180,[3],52,CNN,a,0.00032842172991848526,0.20278866783551214,27,8,0.49431818181818193
173,129,[2],29,CNN,a,0.0002594545452672313,0.04758238132787468,16,5,0.5178571428571429
174,132,[2],24,CNN,a,0.0002051681052606508,0.0424957950398597,17,5,0.4861111111111111
175,125,[2],27,CNN,a,0.00026712472892174446,0.07917504293507452,18,5,0.4853801169590643
176,118,[2],30,CNN,a,0.00043753317195920153,0.020913706634285448,16,5,0.49350649350649356
177,130,[2],34,CNN,a,0.0003590445130102683,0.0508849362803622,15,5,0.5033557046979866
178,191,[2],20,CNN,a,0.00021821941566354413,0.24838840938880125,12,5,0.4808362369337979
179,136,[2],37,CNN,a,0.00027988964803767074,0.06458399971279472,14,9,0.5085714285714286
180,124,"[3, 5, 6]",28,CNN,a,0.00018400576304826102,0.03036107047881132,16,5,0.4720194647201947
181,170,[4],45,CNN,a,0.00031327716791437646,0.23299214371441676,19,8,0.5016722408026757
182,130,[2],34,CNN,a,0.00025658457973285056,0.023929050303942614,18,5,0.5212464589235127
183,128,[2],32,CNN,a,0.00024777695518803414,0.015667386540102676,18,5,0.5333333333333333
184,133,[2],31,CNN,a,0.0002451012814942033,0.004149990529633142,18,5,0.48598130841121495
185,128,[2],34,CNN,a,0.000386188739636851,0.013072285143885295,17,5,0.5
186,120,[2],32,CNN,a,2.307836047443185e-06,0.00023825531665751113,17,5,0.05442176870748299
187,140,[2],29,CNN,a,1.0619835543209804e-05,0.02681471881798891,16,5,0.35463258785942486
188,126,[2],26,CNN,a,0.00026750675989855525,0.015463971314552585,18,5,0.5266272189349113
189,130,"[2, 6, 7, 2, 7]",26,CNN,a,0.0002668510249972961,0.012635544732478224,18,5,0.4726027397260274
190,115,[2],22,CNN,a,0.00024173247568405525,0.018798708550782507,19,5,0.4738675958188153
191,125,[2],35,CNN,a,0.0003450527825506784,0.03742003695725817,15,5,0.5065963060686016
192,135,[2],32,CNN,a,0.0003151018555724684,0.02451673689345174,16,5,0.5055555555555556
193,120,[2],25,CNN,a,0.00041439324631303674,0.45801356427602713,19,5,0.5161290322580645
194,123,[2],38,CNN,a,0.00028273108608814967,0.04145929811982836,17,5,0.49358974358974356
195,128,[2],29,CNN,a,0.00022573409836601757,0.0492784177594102,18,5,0.4660194174757281
196,132,[2],36,CNN,a,0.00033689070216368186,0.01683466171669866,13,5,0.5125
