trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
132,79,LSTM,b,0.00047450668117916155,0.1567194088666824,46,6,0.6915477497255763
133,77,LSTM,b,0.0008560863220195152,0.19165851523526717,47,6,0.7058177826564215
134,86,LSTM,b,0.00032055453697174546,0.16769304608976005,50,6,0.6783754116355654
135,72,LSTM,b,0.0007224656553356547,0.20650791747045538,48,6,0.3721185510428101
136,89,LSTM,b,0.000581311786090231,0.12061884140291468,47,6,0.6959385290889133
137,83,LSTM,b,0.0004284824998079542,0.14506652682347723,45,6,0.5642151481888035
138,75,LSTM,b,0.0006758375676829362,0.1781409003599468,43,6,0.7365532381997805
139,76,LSTM,b,0.00065598961401264,0.17641563138789196,43,7,0.6750823271130626
140,79,LSTM,b,0.0008510327614933967,0.1595908459015976,45,6,0.6684961580680571
141,74,LSTM,b,0.0005250488212344031,0.19318711457506874,42,6,0.6695938529088913
142,69,LSTM,b,0.0007103738521102593,0.13235555152511028,39,6,0.6037321624588364
143,81,LSTM,b,0.0009509138058604597,0.20262378536829384,44,6,0.6882546652030735
144,77,LSTM,b,0.0006026738139322688,0.18261321627778154,41,6,0.7102085620197585
145,77,LSTM,b,0.0006252027678429475,0.17043722509103035,38,6,0.6937431394072447
146,75,LSTM,b,0.0007867531350641135,0.18678347381480853,41,6,0.7244785949506037
147,79,LSTM,b,0.0007432743025543835,0.17992996734164496,40,6,0.7003293084522503
148,84,LSTM,b,0.000794920208963744,0.18386386163437407,41,8,0.6454445664105378
149,75,LSTM,b,0.0009873794227623545,0.15503312710572056,37,6,0.7047200878155873
150,82,LSTM,b,0.0006034813029054924,0.14584209359734837,39,6,0.6838638858397366
151,71,LSTM,b,0.00045562315778814897,0.2158145067641418,41,6,0.6915477497255763
152,75,LSTM,b,1.0051023410681364e-06,0.16779077056451105,42,6,0.3699231613611416
153,77,LSTM,b,0.0005607003845504744,0.18684850844250214,43,6,0.7200878155872668
154,78,LSTM,b,0.0008302856563016309,0.18590962449121912,43,6,0.6948408342480791
155,80,LSTM,b,0.0006647278079990917,0.22303860371570852,13,6,0.6487376509330406
156,78,LSTM,b,0.00040126245902596605,0.17444721148815373,48,6,0.6915477497255763
157,76,LSTM,b,0.0005815769710588244,0.001230442596647563,40,6,0.6267837541163557
158,73,LSTM,b,0.0007390885438880271,0.19484990243747408,41,8,0.7091108671789242
159,81,LSTM,b,0.0004722063671521343,0.16078821211051242,44,6,0.677277716794731
160,76,LSTM,b,0.0003464688258595454,0.2850447949470345,15,6,0.7014270032930845
161,73,LSTM,b,0.0007596410502313942,0.19312420321863014,42,8,0.7069154774972558
162,71,LSTM,b,0.0006598678843569584,0.23117556971455747,41,8,0.7102085620197585
163,78,LSTM,b,0.0006471896366654448,0.23023570251323752,43,8,0.7277716794731065
164,83,LSTM,b,0.0005613998512374515,0.21125558168496802,43,8,0.6498353457738749
165,78,LSTM,b,0.0008407522101500153,0.23942800149409282,45,8,0.6948408342480791
166,80,LSTM,b,0.0006310479021075032,0.2723748830309349,49,6,0.6992316136114161
167,75,LSTM,b,0.0008918264933766523,0.25631817228191245,47,8,0.7178924259055982
168,74,LSTM,b,0.0009080344735389939,0.2563439482433581,47,8,0.6673984632272228
