trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
112,98,LSTM,a,0.00029087007354303514,0.03349611213783506,26,10,0.4458598726114649
113,93,LSTM,a,0.00037974863620226666,0.04128971963321633,28,10,0.45768025078369906
114,92,LSTM,a,0.00031689440367027366,0.09480988521352049,29,10,0.5026178010471203
115,96,LSTM,a,0.0005515325393217624,0.012548683134083222,25,10,0.48484848484848486
116,100,LSTM,a,0.00031923345819390175,0.05197238304505766,29,6,0.4454545454545455
117,95,LSTM,a,0.0004645758264387334,0.24770043427751653,31,10,0.4864864864864865
118,92,LSTM,a,0.0006860292222599188,0.11612500664050632,28,10,0.39259259259259255
119,89,LSTM,a,0.00022005563825544479,0.09170538586219369,25,10,0.45291479820627806
120,98,LSTM,a,0.0004036561438083387,0.06537809788024763,30,10,0.4608076009501188
121,91,LSTM,a,0.0002593512596760884,0.07169257481267387,34,10,0.4939467312348669
122,85,LSTM,a,0.0003038225387862773,0.2248126449690876,32,10,0.47025495750708224
123,94,LSTM,a,0.00034808886444899305,0.07960061821211754,27,10,0.4700460829493087
124,96,LSTM,a,0.000210876022517007,0.0954905321896336,29,9,0.4504504504504505
125,92,LSTM,a,6.39343533605774e-06,0.05675348205025103,26,10,0.36699857752489334
126,87,LSTM,a,0.0005211994853318995,0.028835679640561905,33,6,0.4669811320754717
127,89,LSTM,a,0.000263540585530837,0.04581696334371786,35,10,0.47252747252747246
128,97,LSTM,a,0.00017944470158353816,0.21183556451559676,23,10,0.5121951219512195
129,97,LSTM,a,0.00018065773637814832,0.1987405996100451,23,10,0.4837758112094395
130,100,LSTM,a,0.00014702943878452926,0.18663187869240033,21,10,0.4471744471744472
131,94,LSTM,a,0.00043371788949731323,0.208590054626855,24,10,0.4709677419354839
132,91,LSTM,a,0.00023804574443497096,0.23157747920210917,18,10,0.4770642201834862
133,96,LSTM,a,0.00036904885514214505,0.21517609959631553,25,10,0.48854961832061067
134,98,LSTM,a,0.0001615917605794464,0.25040983475678885,27,10,0.46703296703296704
135,92,LSTM,a,0.00020107867501561783,0.08248158686912849,31,10,0.4651162790697675
136,94,LSTM,a,0.00031948030307203857,0.0668338660730048,30,6,0.4718498659517426
137,90,LSTM,a,0.00012104869726359457,0.4770432143343367,23,10,0.0
138,98,LSTM,a,0.00010516089859325652,0.26020695851621534,37,9,0.015267175572519083
139,95,LSTM,a,0.000585134559277904,0.1124432458199522,28,10,0.4747474747474748
140,93,LSTM,a,0.0002883192230477472,0.23664679601005248,22,10,0.47282608695652173
141,97,LSTM,a,0.00045153837500114925,0.058312894939702736,26,10,0.48000000000000004
142,95,LSTM,a,0.00040428083813402575,0.22144490995366894,24,10,0.4431818181818182
143,93,LSTM,a,0.0008397048019735607,0.20504800037047904,20,10,0.4529411764705882
144,90,LSTM,a,0.0004928549052919375,0.2823429760848236,24,10,0.47058823529411764
145,100,LSTM,a,0.0006470709240079316,0.18865184208921731,35,10,0.48611111111111105
146,19,LSTM,a,1.5020713414641727e-06,0.0996288326100276,26,6,0.0
147,87,LSTM,a,0.0003599565672251817,0.03527124971256046,29,10,0.47592067988668557
148,96,LSTM,a,0.000262542823995468,0.16758113164978644,32,10,0.4355828220858896
